5	+m3 -m2 +m2 -m3
5	+M6 -M2 -M2 +M2
5	-m2 -M2 -m3 -M2
5	-m2 -M3 -m2 -M2
5	+M2 +M2 -M3 +M3
5	+M3 +m3 +m3 -m2
5	+M2 -m3 -M3 +M2
5	-M2 +m2 -m2 -M2
5	-M2 +M2 +m3 -M2
5	+M2 -m3 -M2 +M2
5	-M2 -m3 +m3 +M2
5	+M2 -M2 -m3 +M2
5	-M2 +M2 +m3 +M3
5	-M3 +M3 +m3 +M2
5	+m2 +M2 -M2 +M3
5	-M3 -m2 -M2 +M2
4	+M2 -m3 +m2 -m3
4	A1 +m2 A1 +m2
4	+m3 +M3 -M2 +M2
4	-m3 -M3 +M3 -M2
4	-m2 -M2 -M3 -m3
4	-M6 -m2 -M2 -M2
4	+M2 -M3 +M2 +m3
4	+m2 -m3 -M2 +M2
4	+M2 -M2 +M2 +m3
4	+M2 +m2 -m3 +m6
4	-m3 -m3 -M2 -M2
4	+m3 -m3 -M2 +m3
4	+M6 -M2 -m2 -M2
4	+M2 +m2 +M2 -m2
4	-m3 -M3 -m3 -M3
4	+m3 +M3 +m2 +M2
4	+m2 -m2 +m3 +M3
4	+M3 +m3 -m3 -M2
4	+m3 -m3 -M3 -M2
4	-m2 -M3 +M3 -M2
4	-M3 +M2 -M2 -m3
4	+M2 -m3 -M3 -m2
4	+M3 -M3 -m3 +m3
4	-M2 +M2 -M6 +M2
4	+M2 +m3 -m2 +m2
4	-m3 +m2 +M2 +m2
4	+m3 +m3 -M2 -m2
4	+m2 -m3 -M3 -m3
4	+m3 +M3 +m2 -m2
4	-M2 -m3 -M3 +M3
4	-M2 +M3 +m3 +m3
4	+m2 +M2 +M2 +m6
4	-m3 +M2 -m3 +m2
4	-M3 -m3 +m3 +M2
4	+M3 +m3 -m3 +m3
4	+M2 -M3 +M3 -M2
4	-m2 -M2 -M3 +M3
4	+m3 -m3 +m2 -m2
4	-m2 -M2 -M2 -m6
4	+m3 +M3 +m2 -m3
4	+M2 -m3 +m2 -m2
4	+M3 -M2 -M2 +M3
4	+M3 +m2 +M2 -M2
4	+m2 -m3 -m3 -M2
4	-m3 +M2 -M3 -m3
4	-m3 -M2 -M2 +M3
4	-M3 -m3 +M2 -m3
4	-M2 -m2 +m2 -M3
4	+m3 +M3 +m3 -M2
4	-M2 +M2 +m2 +M3
4	+m3 -m2 -M2 +m3
4	-M2 -M2 +M2 -m2
4	+M2 +M2 +m3 +M2
4	+M2 -m3 -M3 -m3
4	+M3 -M3 -m2 -M2
4	-m2 +m2 +M2 +m7
4	-m3 +m2 +M3 +m3
4	+m2 -m2 +M2 +m2
4	-M2 +M2 -m3 -M2
4	-m2 +m2 +M3 -M2
4	+M3 -M2 +M2 +M2
4	-M3 +M3 -M2 +M2
4	-m2 +m2 A1 +m2
4	+M2 +m2 +M2 +M3
4	-M2 +M2 -M2 +m3
4	+m3 -m3 -M2 -m3
4	+m2 -M2 -m2 -M2
4	+M2 +M2 +m2 +M6
4	-m3 -M3 -M2 -m2
4	-M2 +M2 -M3 -M2
4	+m2 -M2 -m2 +m2
4	-m2 +m2 +M3 +m3
4	-m2 -M3 +M2 -M2
4	+m3 +M3 -M2 -m3
4	+m3 -m3 +m3 -m3
4	+m2 -m3 +m3 +M3
4	-m2 +m2 +m2 -m2
4	-m2 +m3 -m3 -M2
4	-M3 +M2 +M2 +m3
4	+m6 -m3 -M2 -M2
4	+m3 -m2 -M2 -m3
4	-m2 -M2 -m3 -m3
4	-M2 +M3 -M2 -m3
4	-M3 -m2 -M2 +m3
4	-m2 -M3 +m2 -m2
4	+M3 -M2 +M2 -M2
4	-M2 -m3 -M3 -M2
4	-M2 -m2 -M3 +M3
4	+m3 +m3 -m3 -m3
4	-M2 -M2 +m3 -m3
4	-M2 -m3 +M2 -M3
4	+m6 -m2 -M2 -m2
4	+m2 -m3 -M2 +M3
4	+M2 -m3 +m3 +M2
3	+m3 +M2 +M2 -M3
3	-M2 +M2 +m7 -m2
3	+M3 +m2 +M3 +m3
3	-m3 -m3 -M2 -m2
3	+m3 -M2 -m2 +m2
3	+m2 +M2 -M2 -m3
3	+m3 +M2 -M2 +M3
3	+M2 +M2 -M2 -m2
3	+M2 +m3 -m3 -M3
3	-M3 +M2 +m3 +M3
3	-M3 -m3 +M2 -M2
3	-M2 -m2 +m3 +M2
3	-M2 +m3 -d5 +m2
3	+M2 +M2 -M3 -M2
3	-M3 -m3 +M2 -M3
3	-m2 -M3 -m3 -m2
3	+M6 -M6 +m7 -m2
3	+m3 -m3 -M2 +M2
3	+M3 -M2 -M2 -M2
3	+m7 -m2 -M2 +m3
3	+m2 A1 +m2 -m2
3	-M2 +M3 -M3 -m2
3	-M3 -m3 -M2 -M2
3	-M2 -M2 -M2 +M3
3	+M2 +m2 -m6 -M2
3	+m3 +M2 +m2 -m2
3	+m3 -M2 -m3 -M3
3	+m3 +M3 +m3 +m3
3	-m2 -M3 -m3 +m6
3	-M2 -m2 -M2 +m7
3	-m3 -m3 +m2 -m2
3	-M2 +M2 +m3 +m3
3	+m3 -M2 +M2 +m2
3	-M3 -m3 -m3 -m3
3	-M2 -M2 -M2 +M6
3	+M2 -m3 +m2 -M3
3	+m2 +M6 -M2 -m2
3	+M2 -M3 -M2 -M2
3	+M6 -M2 +M2 +m2
3	-M2 -M2 -m2 -M6
3	-M2 +M2 +m6 -m2
3	+m3 -d5 +m2 +M2
3	+m3 +m3 -m3 +M2
3	+M2 +m3 -m2 +m3
3	-M2 -m2 +m6 -M2
3	+M2 -M2 +M2 -M3
